MESA,Departamento,Municipio,Circuito,ESTADO
243,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
244,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
245,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
246,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
247,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
248,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
249,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
250,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
251,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
252,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
253,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
254,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
255,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
256,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
257,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
258,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
259,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
260,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
261,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
262,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
263,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
264,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
265,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
266,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
267,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
268,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
269,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
270,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
271,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
272,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
273,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
274,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
275,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
276,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
277,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
278,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
279,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
280,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
281,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
282,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
283,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
284,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
285,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
286,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
287,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
288,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
289,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
290,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
291,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
292,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
293,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
294,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
295,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
296,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
297,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
298,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
