,mesa,Departamento,Municipio,Circuito,bue,1 - Movimiento Integracion y Desarrollo (1) 1.Intendente/Vice,1 - Movimiento Integracion y Desarrollo (1) 2.Concejales,2 - Justicialista (2) 1.Intendente/Vice,2 - Justicialista (2) 2.Concejales,3 - Union Civica Radical (3) 1.Intendente/Vice,3 - Union Civica Radical (3) 2.Concejales,4 - Movimiento Siempre Corrientes (4) 1.Intendente/Vice,4 - Movimiento Siempre Corrientes (4) 2.Concejales,5 - Democrata Cristiano (5) 1.Intendente/Vice,5 - Democrata Cristiano (5) 2.Concejales,6 - Es Posible (6) 1.Intendente/Vice,6 - Es Posible (6) 2.Concejales,7 - de la Concertacion Forja (7) 1.Intendente/Vice,7 - de la Concertacion Forja (7) 2.Concejales,8 - Federal (8) 1.Intendente/Vice,8 - Federal (8) 2.Concejales,9 - Democrata Progresista (9) 1.Intendente/Vice,9 - Democrata Progresista (9) 2.Concejales,10 - Renovador Federal (10) 1.Intendente/Vice,10 - Renovador Federal (10) 2.Concejales,11 - Ladrilleros Unidos (CAPITAL) (11) 1.Intendente/Vice,11 - Ladrilleros Unidos (CAPITAL) (11) 2.Concejales,12 - Accion por Corrientes (14) 1.Intendente/Vice,12 - Accion por Corrientes (14) 2.Concejales,13 - Unidos por Corrientes (15) 1.Intendente/Vice,13 - Unidos por Corrientes (15) 2.Concejales,14 - Laborista Autonomo (17) 1.Intendente/Vice,14 - Laborista Autonomo (17) 2.Concejales,15 - ELI - Encuentro Liberal (18) 1.Intendente/Vice,15 - ELI - Encuentro Liberal (18) 2.Concejales,16 - Cambio Popular (19) 1.Intendente/Vice,16 - Cambio Popular (19) 2.Concejales,17 - Union del Centro Democratico (20) 1.Intendente/Vice,17 - Union del Centro Democratico (20) 2.Concejales,18 - Convocatoria Popular (21) 1.Intendente/Vice,18 - Convocatoria Popular (21) 2.Concejales,19 - FE (23) 1.Intendente/Vice,19 - FE (23) 2.Concejales,20 - Union Popular (25) 1.Intendente/Vice,20 - Union Popular (25) 2.Concejales,21 - Conservador Popular (31) 1.Intendente/Vice,21 - Conservador Popular (31) 2.Concejales,22 - Accion Popular de los Trabajadores (34) 1.Intendente/Vice,22 - Accion Popular de los Trabajadores (34) 2.Concejales,23 - Accion por la Republica (44) 1.Intendente/Vice,23 - Accion por la Republica (44) 2.Concejales,24 - Afirmacion para una Republica Igualitaria ARI  (47) 1.Intendente/Vice,24 - Afirmacion para una Republica Igualitaria ARI  (47) 2.Concejales,25 - Partido Socialista (50) 1.Intendente/Vice,25 - Partido Socialista (50) 2.Concejales,26 - Autonomista (52) 1.Intendente/Vice,26 - Autonomista (52) 2.Concejales,27 - de la Victoria (54) 1.Intendente/Vice,27 - de la Victoria (54) 2.Concejales,28 - Proyecto Corrientes (57) 1.Intendente/Vice,28 - Proyecto Corrientes (57) 2.Concejales,29 - PRO - Propuesta Republicana (64) 1.Intendente/Vice,29 - PRO - Propuesta Republicana (64) 2.Concejales,30 - Nueva Dirigencia Corrientes (67) 1.Intendente/Vice,30 - Nueva Dirigencia Corrientes (67) 2.Concejales,31 - Instrumento Electoral por la Unidad Popular (72) 1.Intendente/Vice,31 - Instrumento Electoral por la Unidad Popular (72) 2.Concejales,32 - Nuevo (90) 1.Intendente/Vice,32 - Nuevo (90) 2.Concejales,33 - Popular (169) 1.Intendente/Vice,33 - Popular (169) 2.Concejales,34 - Crecer con Todos (170) 1.Intendente/Vice,34 - Crecer con Todos (170) 2.Concejales,35 - Union Celeste y Blanco (173) 1.Intendente/Vice,35 - Union Celeste y Blanco (173) 2.Concejales,36 - Compromiso Correntino (175) 1.Intendente/Vice,36 - Compromiso Correntino (175) 2.Concejales,37 - KOLINA (192) 1.Intendente/Vice,37 - KOLINA (192) 2.Concejales,VOTOS en Blanco 1.Intendente/Vice,VOTOS en Blanco 2.Concejales,VOTOS Nulos 1.Intendente/Vice,VOTOS Nulos 2.Concejales,VOTOS  Recurridos 1.Intendente/Vice,VOTOS  Recurridos 2.Concejales,VOTOS de Identidad Impugnada 1.Intendente/Vice,VOTOS de Identidad Impugnada 2.Concejales,Total Votos Válidos 1.Intendente/Vice,Total Votos Válidos 2.Concejales,Votos Generales 1.Intendente/Vice,Votos Generales 2.Concejales,Frente Para la Victoria (201) 1.Alianzas Intendente/Vice,Encuentro por Corrientes-ECO+Cambiemos (203) 1.Alianzas Intendente/Vice,Haciendo Corrientes (205) 1.Alianzas Intendente/Vice,Ciudadanos Comprometidos (200) 2.Alianzas Concejales,Frente Para la Victoria (201) 2.Alianzas Concejales,Encuentro por Corrientes-ECO+Cambiemos (204) 2.Alianzas Concejales,Haciendo Corrientes (205) 2.Alianzas Concejales,voto_cruzado,voto_cruzado_revisado
635,636,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,14,13,15,14,43,29,2,2,0,0,2,2,1,1,10,9,0,1,14,15,16,16,2,2,1,1,6,6,15,12,7,7,18,17,1,1,0,1,6,6,0,/////,13,14,1,2,12,12,0,10,5,6,2,2,0,0,7,6,0,0,0,2,12,12,8,8,16,15,4,4,0,0,7,8,6,6,6,6,0,0,0,/////,260,256,272,268,8,135,117,21,9,78,114,21.0,3.0
636,637,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,20,20,70,66,47,31,2,2,5,5,0,0,1,1,1,1,1,1,7,6,10,8,8,8,4,4,2,2,8,9,2,2,3,3,4,5,1,1,2,2,1,/////,11,12,2,2,5,5,0,13,6,7,0,0,2,2,2,2,2,2,0,0,4,4,8,8,9,8,6,6,1,1,7,9,5,5,2,2,0,0,0,/////,264,258,271,265,11,120,133,15,14,76,125,22.0,6.0
637,638,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,18,18,27,26,33,16,3,2,20,20,1,1,2,2,13,13,1,1,8,8,5,5,1,1,4,4,2,2,14,14,20,19,2,2,8,8,7,8,1,1,5,/////,8,9,8,8,6,7,0,1,4,4,3,3,4,5,1,1,2,2,0,14,5,5,6,6,4,4,4,4,4,3,5,5,7,12,7,7,2,0,0,/////,259,252,275,271,13,129,117,18,13,63,114,22.5,3.5
638,639,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,18,18,48,47,40,29,17,17,14,14,12,11,2,3,4,4,4,4,6,6,6,5,4,4,7,7,10,11,13,13,4,2,2,1,8,8,5,6,5,6,1,/////,3,3,1,1,5,5,0,8,3,3,2,2,1,1,3,3,8,8,0,4,7,7,5,6,2,2,2,2,1,0,3,3,5,6,4,5,0,0,0,/////,276,274,285,285,11,137,128,15,11,77,124,18.0,3.0
639,640,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,11,11,26,26,13,1,3,3,7,7,0,0,2,2,6,6,2,2,3,3,14,14,2,2,7,7,9,9,18,18,24,24,28,24,3,1,3,3,5,5,3,/////,4,4,3,3,0,0,0,2,6,7,5,5,2,2,7,7,7,7,0,1,4,4,7,7,14,13,8,8,2,2,4,4,7,10,11,11,1,1,0,/////,262,244,281,266,7,114,141,12,5,64,136,13.0,9.0
640,641,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,14,14,43,42,56,39,8,8,9,9,2,2,7,7,6,4,2,3,9,8,6,6,0,1,1,1,0,0,16,13,0,0,5,5,6,6,2,3,2,2,2,/////,2,2,3,5,10,7,0,9,3,3,7,7,1,1,3,3,0,0,0,7,5,7,3,3,3,3,6,6,1,2,11,11,3,6,10,10,0,0,0,/////,254,249,267,265,17,121,116,7,17,76,116,26.5,2.5
641,642,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,38,36,29,29,47,45,16,16,12,12,3,3,1,1,5,5,1,1,1,1,13,13,7,7,4,4,2,2,11,10,4,4,3,3,0,0,1,1,4,4,3,/////,7,9,0,0,3,3,0,1,5,5,2,2,1,1,2,3,2,2,0,0,2,2,7,7,4,3,7,7,1,1,7,7,8,13,2,2,1,1,1,/////,255,250,267,267,7,123,125,14,7,87,122,6.5,2.5
642,643,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,10,9,41,37,27,27,11,11,5,5,0,0,2,2,4,4,0,2,11,11,4,4,5,5,1,1,9,10,11,11,3,3,0,0,5,5,1,1,6,6,6,/////,19,20,4,3,3,3,0,1,5,5,15,14,3,3,2,2,3,3,0,0,11,11,9,9,10,10,4,4,2,3,2,1,2,2,14,0,0,0,0,/////,254,246,270,248,7,124,123,27,6,68,117,10.0,4.0
643,644,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,22,22,61,60,65,39,16,16,7,7,2,2,8,8,6,6,2,2,7,7,7,7,3,3,3,4,0,0,6,6,6,6,2,2,5,4,7,6,1,1,2,/////,0,0,4,4,2,3,0,16,6,6,2,2,0,0,2,2,0,0,0,8,2,1,5,5,3,3,1,1,1,1,6,6,2,2,8,8,0,0,0,/////,272,266,282,276,11,118,143,7,10,66,141,29.0,3.0
644,645,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,7,7,41,39,48,40,12,10,5,4,4,4,1,1,4,3,5,4,10,10,10,9,4,4,4,5,5,5,13,12,7,7,14,14,9,10,6,6,3,4,2,/////,2,2,5,7,4,4,0,2,3,7,1,1,0,0,1,1,0,2,0,0,6,0,10,10,2,2,3,3,5,5,2,2,0,0,10,10,4,4,0,/////,258,246,272,260,11,131,116,12,12,84,104,19.0,7.0
645,646,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,38,35,22,19,26,18,13,13,22,21,5,5,4,4,7,10,2,3,5,1,2,2,6,6,11,11,4,3,12,13,3,4,3,3,4,6,5,5,15,17,5,/////,5,5,2,2,5,5,0,4,1,2,9,8,2,2,0,0,9,9,0,1,2,2,6,6,5,5,5,5,0,0,4,5,3,8,7,7,0,0,0,/////,269,260,279,275,8,133,128,27,11,71,117,21.5,7.5
646,647,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,2,2,26,26,21,19,7,7,2,2,1,1,3,3,1,1,0,0,7,7,10,10,2,3,0,0,4,4,9,9,17,17,2,3,1,1,5,4,9,9,1,/////,8,8,6,7,6,5,0,1,8,7,17,17,12,12,4,3,1,1,0,2,8,8,10,10,26,25,8,6,13,12,7,7,5,5,12,12,0,0,0,/////,264,259,281,276,8,129,127,21,8,72,127,8.5,2.5
647,648,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,3,3,33,31,28,22,33,31,1,1,3,3,19,19,3,3,4,4,5,4,1,1,8,8,13,12,2,3,10,10,5,5,2,2,5,5,1,2,11,11,0,/////,2,2,0,0,3,3,0,4,4,6,2,2,2,2,3,3,0,0,0,1,12,12,8,8,25,24,2,2,3,3,4,3,2,2,9,9,0,0,0,/////,260,255,271,266,9,110,141,15,8,68,135,11.5,4.5
648,649,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,12,12,37,33,49,40,9,9,5,5,2,2,4,4,3,3,3,3,16,17,2,2,2,2,13,12,7,7,6,6,8,8,17,17,3,3,5,5,1,1,0,/////,8,8,5,9,2,2,0,4,4,4,7,7,1,1,1,1,2,2,0,5,5,5,5,5,6,5,1,1,1,1,7,6,0,0,9,11,0,0,0,/////,259,257,268,268,10,121,128,14,9,74,124,15.0,4.0
649,650,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,2,2,26,25,32,14,5,5,7,7,1,1,6,6,1,1,1,1,6,6,15,15,5,5,2,2,5,5,7,6,3,3,9,9,5,4,2,2,3,3,2,/////,8,8,1,1,6,6,0,6,3,3,23,23,19,19,1,1,13,12,0,11,8,9,3,3,10,11,5,5,4,4,2,2,4,9,7,7,0,0,0,/////,251,246,262,262,7,124,120,13,6,71,121,21.5,3.5
650,651,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,7,7,25,24,26,23,10,10,3,2,0,0,16,16,0,0,1,2,1,1,4,4,1,1,5,5,2,2,11,12,2,1,8,8,2,1,5,5,15,13,4,/////,7,7,4,5,1,1,0,2,3,4,14,12,3,3,8,8,13,13,0,1,5,5,7,6,23,22,9,9,10,9,6,6,1,7,6,10,0,0,0,/////,261,250,268,267,8,135,118,25,7,84,112,12.5,5.5
651,652,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,6,6,33,33,47,45,50,50,5,5,1,2,4,4,20,20,0,0,4,4,6,7,1,1,3,3,2,2,9,7,1,2,1,1,5,5,4,4,13,13,1,/////,2,3,1,1,1,1,0,2,7,8,3,3,0,0,1,1,2,2,0,0,2,2,8,8,4,3,1,1,3,3,5,5,1,1,9,9,0,0,0,/////,256,257,266,267,10,127,119,20,10,76,120,6.5,0.5
652,653,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,2,2,11,11,19,14,0,0,2,2,0,0,1,1,4,4,0,0,0,0,1,1,0,0,1,1,0,2,6,6,10,3,9,9,1,1,1,1,3,3,0,/////,2,2,5,5,14,14,0,3,2,3,20,20,4,4,2,3,6,6,0,2,8,8,10,10,5,5,7,7,4,4,0,1,1,0,4,0,1,0,0,/////,160,158,166,158,1,90,69,6,2,68,62,11.0,6.0
653,654,241 -- CAPITAL,1 -- CAPITAL,7B -- CAPITAL,0,4,4,35,32,27,23,2,2,3,3,1,1,0,0,5,5,0,0,5,6,6,6,4,4,2,2,1,1,7,7,1,1,8,8,1,1,5,5,2,2,1,/////,3,3,4,4,6,6,0,2,3,3,4,4,2,2,5,5,6,6,0,1,3,3,12,12,0,0,0,0,1,1,4,4,1,5,4,4,0,0,0,/////,173,169,178,178,5,97,71,10,5,66,69,6.0,2.0
654,655,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,0,0,51,48,28,29,6,6,7,6,1,1,9,9,1,2,3,3,2,2,5,4,0,1,0,0,1,1,3,3,1,1,14,12,9,9,23,20,10,11,6,/////,8,8,17,21,5,6,0,2,1,1,11,11,1,1,2,2,2,2,0,0,8,8,8,8,13,12,1,1,1,1,4,5,8,8,9,9,2,0,0,/////,262,257,281,274,13,122,127,39,14,53,119,14.5,5.5
655,656,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,4,4,27,26,35,28,3,3,4,4,3,3,3,3,0,0,0,0,3,3,9,9,3,5,5,5,7,6,8,6,5,3,12,13,3,3,6,6,2,2,0,/////,3,3,10,13,0,0,0,5,12,13,26,22,0,0,7,7,0,0,0,0,7,5,16,15,29,30,12,11,6,6,5,6,3,0,11,0,1,0,0,/////,275,268,290,268,8,135,132,11,9,85,125,17.5,4.5
656,657,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,7,6,32,32,32,17,6,6,6,6,0,0,3,3,1,1,1,1,4,2,8,8,4,4,1,1,4,6,4,4,1,1,9,7,4,4,6,6,3,3,2,/////,9,9,13,17,3,3,0,2,3,3,16,15,5,5,0,0,2,2,0,10,8,8,9,11,27,27,15,14,5,5,10,10,2,2,6,6,2,2,0,/////,263,259,273,269,14,122,127,18,14,60,121,22.0,4.0
657,658,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,10,9,23,22,29,18,1,1,0,0,1,1,3,3,1,1,2,2,1,1,5,5,1,1,2,2,1,1,7,7,5,3,7,8,1,1,2,2,11,12,1,/////,6,6,6,6,2,3,0,2,7,8,9,10,2,3,4,3,5,5,0,8,11,11,13,15,40,37,15,15,4,4,10,9,2,6,12,13,0,0,0,/////,248,245,262,264,11,122,115,20,10,79,110,19.5,4.5
658,659,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,2,2,12,11,19,11,3,2,1,1,2,1,4,3,1,1,1,1,10,6,13,11,3,8,0,0,3,4,2,2,5,5,2,2,3,4,1,1,3,3,0,/////,3,3,7,9,4,4,0,3,11,11,15,15,6,6,4,4,5,5,0,4,11,11,10,10,42,41,21,21,4,4,9,9,0,0,17,17,0,0,0,/////,242,239,259,256,12,110,120,7,13,74,110,17.5,8.5
659,660,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,10,8,32,31,22,23,8,8,7,7,8,8,8,8,4,5,3,3,9,9,15,15,3,3,2,2,4,4,10,10,3,3,3,3,3,4,2,2,4,4,1,/////,2,4,4,4,2,2,0,3,5,5,15,14,1,1,6,6,2,3,0,4,8,8,5,5,13,11,6,6,1,0,4,4,1,3,4,4,2,2,0,/////,235,240,242,249,7,97,131,10,8,63,125,10.5,8.5
660,661,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,14,12,48,46,27,26,11,10,18,17,6,6,13,13,6,6,2,2,5,5,10,9,3,3,9,9,6,7,7,7,3,3,3,3,4,4,5,4,3,5,0,/////,1,1,4,4,3,3,0,2,4,5,5,5,0,0,0,0,0,0,0,3,4,4,4,4,5,5,5,4,3,4,3,3,5,0,10,0,3,0,0,/////,244,244,262,244,7,98,139,10,7,58,132,10.0,7.0
661,662,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,18,16,20,20,24,22,6,5,21,19,15,14,9,9,6,7,15,15,7,8,12,10,5,5,9,8,7,7,14,14,1,1,4,4,1,1,6,6,1,1,0,/////,2,3,4,6,7,7,0,2,1,1,7,6,3,3,0,0,1,1,0,0,8,9,5,5,3,3,3,3,4,5,6,4,4,0,8,0,2,0,0,/////,255,250,269,250,7,132,116,10,5,64,110,11.5,5.5
662,663,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,9,8,23,20,27,24,16,15,2,2,1,1,1,1,0,0,1,1,4,4,5,5,3,4,2,2,2,3,8,7,7,6,17,16,4,3,3,3,8,8,2,/////,6,5,16,17,12,14,0,2,6,7,10,10,0,0,3,3,0,0,0,1,2,2,19,19,15,15,10,10,5,5,5,6,5,9,9,11,0,0,0,/////,254,249,268,269,9,134,111,16,9,86,104,12.5,4.5
663,664,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,18,16,55,50,29,21,5,3,2,2,4,4,13,13,4,4,3,4,8,5,0,0,1,2,13,12,6,6,10,11,3,13,2,2,5,4,2,2,1,2,1,/////,7,7,10,12,4,5,0,6,11,11,3,3,4,4,1,2,1,1,0,2,5,5,5,6,8,9,3,3,4,4,4,3,4,10,1,6,0,0,0,/////,255,259,260,275,9,124,122,11,7,76,121,26.0,5.0
664,665,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,9,8,28,26,24,20,0,0,4,4,1,2,21,17,7,7,1,1,3,3,6,6,4,4,11,10,15,17,27,26,9,8,11,11,2,3,2,2,2,2,2,/////,6,6,14,15,2,2,0,2,7,6,4,4,0,0,1,1,2,2,0,3,5,5,5,5,4,3,2,3,3,3,0,1,4,0,7,0,0,0,0,/////,244,238,255,238,2,138,104,10,4,75,95,15.0,6.0
665,666,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,8,8,43,40,31,26,5,5,6,5,2,2,3,3,0,0,1,1,5,5,20,18,7,7,2,2,7,7,13,13,3,3,23,23,6,6,9,8,7,7,2,/////,5,5,6,8,3,3,0,1,6,6,5,5,1,2,2,2,1,1,0,1,4,4,1,1,4,4,1,1,4,4,1,1,3,12,3,3,0,0,0,/////,247,238,253,253,7,111,129,20,7,57,123,9.5,4.5
666,667,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,18,18,48,46,61,44,15,15,3,3,7,9,7,5,5,5,2,1,9,8,8,7,2,3,4,4,2,3,1,2,2,2,1,1,3,3,4,4,7,7,2,/////,11,11,7,8,2,2,0,10,0,0,0,0,1,1,1,1,1,1,0,0,6,6,1,1,1,1,1,1,0,0,7,6,5,5,6,11,0,0,0,/////,250,239,261,255,10,122,118,22,9,57,112,21.5,5.5
667,668,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,2,2,27,27,25,20,6,6,49,44,11,12,2,2,0,0,0,0,2,1,5,5,5,6,3,3,1,2,22,21,5,4,4,4,1,1,2,2,4,4,0,/////,6,5,12,12,1,1,0,0,1,2,24,23,4,4,4,4,4,4,0,3,3,3,1,1,5,4,5,5,5,5,5,7,7,10,11,14,0,0,0,/////,256,249,274,273,6,116,134,11,8,65,125,12.5,5.5
668,669,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,2,2,27,25,31,22,35,34,5,5,2,2,4,4,1,1,1,1,10,11,23,23,1,1,1,1,5,6,6,6,1,1,10,6,3,3,2,2,10,11,0,/////,3,3,7,9,8,8,0,3,3,3,4,3,1,2,10,9,5,6,0,6,6,6,4,5,5,5,1,1,2,2,5,5,1,1,9,9,0,0,0,/////,244,243,254,253,8,104,132,16,8,63,125,17.5,6.5
669,670,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,1,1,24,22,25,25,0,0,9,9,1,1,0,0,2,2,1,1,4,4,10,10,6,7,4,4,0,0,3,3,1,1,12,11,3,3,3,3,2,3,0,/////,7,7,14,18,4,4,0,0,8,8,13,12,0,0,4,4,1,1,0,0,21,21,6,6,16,15,23,22,7,6,6,6,4,5,6,8,4,4,0,/////,241,240,255,257,9,121,111,13,9,77,106,6.5,4.5
670,671,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,3,2,30,28,12,17,2,2,3,2,1,1,4,4,1,2,0,2,3,4,9,9,7,7,4,4,4,6,3,3,2,2,3,3,2,3,5,5,3,3,2,/////,3,3,11,12,1,1,0,2,8,8,11,11,1,1,1,1,12,12,0,3,11,11,9,6,46,46,18,18,16,16,10,10,1,1,8,8,0,0,0,/////,261,270,270,279,12,122,127,11,13,71,124,13.5,7.5
671,672,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,0,0,27,24,12,11,20,20,10,8,0,0,6,6,5,5,0,0,11,10,7,7,0,1,2,2,0,0,10,11,1,1,8,8,1,0,4,3,5,8,0,/////,8,9,7,7,3,3,0,2,4,5,13,13,0,0,6,6,0,0,0,0,12,11,11,10,12,11,12,11,15,12,11,15,7,7,5,5,0,0,0,/////,243,240,255,252,12,104,127,20,15,59,119,14.5,6.5
672,673,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,5,5,25,27,29,13,28,27,9,8,1,1,1,1,3,3,1,1,3,4,1,1,4,4,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,/////,18,20,14,14,11,12,0,10,11,13,39,38,3,3,6,6,1,1,0,6,4,4,9,7,13,13,7,7,3,3,6,6,3,3,7,7,3,3,0,/////,262,265,275,278,7,125,130,22,7,64,130,22.5,1.5
673,674,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,36,36,37,32,24,23,5,4,7,7,11,11,8,7,1,2,4,6,3,2,10,8,5,5,5,5,3,3,8,8,4,3,4,4,4,4,4,4,6,7,4,/////,7,7,15,19,1,2,0,0,10,11,0,0,4,4,0,0,0,0,0,0,5,5,2,1,6,6,1,1,3,3,7,6,6,13,14,13,4,4,0,/////,254,246,278,276,11,118,125,18,10,55,114,14.0,8.0
674,675,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,0,0,25,22,26,24,3,2,8,6,2,3,8,7,4,4,3,4,23,22,29,26,1,1,1,1,3,3,16,16,0,0,2,2,2,2,9,9,13,16,0,/////,1,1,9,13,3,3,0,0,4,6,8,7,3,3,4,4,4,4,0,1,4,4,10,10,2,2,4,5,3,3,2,3,5,5,9,9,4,4,0,/////,239,239,257,257,4,123,112,26,5,76,100,14.0,12.0
675,676,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,14,12,48,47,54,38,6,4,9,9,3,3,5,5,3,3,1,2,2,2,3,3,4,5,2,2,3,3,6,6,0,0,1,1,6,6,4,4,1,2,0,/////,4,4,4,5,1,1,0,8,4,4,5,5,1,1,2,2,3,3,0,4,6,6,10,9,13,12,11,10,5,3,6,8,1,7,9,9,0,0,0,/////,250,242,260,258,12,126,112,10,14,76,106,22.0,6.0
676,677,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,8,8,28,28,29,14,8,8,13,14,1,1,4,4,0,0,0,0,8,8,5,5,4,4,0,0,5,6,9,9,12,9,15,14,5,5,1,1,6,6,4,/////,18,16,14,16,14,14,0,8,3,3,5,5,0,0,4,4,2,2,0,0,5,5,1,1,15,15,2,2,6,6,5,5,2,2,10,10,3,3,0,/////,259,246,274,261,10,123,126,23,10,49,123,18.5,6.5
677,678,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,5,4,29,29,24,20,5,4,2,3,0,0,9,9,6,6,3,3,15,15,36,34,8,8,2,1,6,9,5,5,1,2,4,4,6,6,4,4,7,8,2,/////,9,9,4,4,10,9,0,2,4,5,4,3,1,1,2,2,4,4,0,2,13,10,4,4,5,4,1,1,0,0,5,5,4,4,11,11,0,1,0,/////,245,239,260,255,11,106,128,21,11,52,121,14.0,4.0
678,679,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,2,2,34,33,32,28,2,2,18,17,1,0,5,5,5,5,1,1,6,5,9,9,4,4,5,5,5,5,2,2,13,11,7,7,9,8,3,3,9,9,1,/////,6,6,4,4,11,11,0,3,7,7,12,11,6,6,6,6,1,2,0,2,10,9,7,8,2,2,3,3,2,2,2,2,4,11,16,16,5,5,1,/////,252,245,278,278,11,121,120,18,10,78,113,10.5,4.5
679,680,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,0,0,31,29,46,44,13,12,3,3,0,0,5,3,1,1,0,1,5,5,10,9,1,1,2,2,2,3,1,1,4,4,7,7,5,6,8,8,3,3,0,/////,3,4,10,10,3,3,0,1,1,1,21,21,2,2,3,3,1,1,0,2,5,6,3,3,42,40,5,6,1,1,5,5,5,6,12,12,3,3,3,/////,252,251,275,275,10,96,146,15,11,66,139,9.5,6.5
680,681,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,7,7,37,37,19,12,4,4,23,22,0,0,9,9,0,0,2,2,7,7,23,20,3,3,1,1,3,3,8,8,4,4,10,9,5,5,7,7,6,6,0,/////,19,19,8,8,5,5,0,4,4,6,2,2,7,7,4,4,3,3,0,3,12,12,4,4,8,8,7,7,6,6,2,3,2,2,13,13,1,1,0,/////,269,267,285,283,7,116,146,32,8,57,141,11.0,4.0
681,682,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,2,2,39,37,38,37,4,4,2,2,1,1,7,7,5,5,0,0,10,10,11,9,3,3,4,4,7,6,1,2,4,4,7,7,1,1,7,7,2,2,0,/////,2,2,14,15,2,2,0,2,7,9,10,10,0,0,6,6,4,4,0,1,18,17,8,7,13,12,2,2,1,1,5,9,2,2,8,8,2,2,0,/////,247,249,259,261,6,114,127,11,10,73,121,10.0,7.0
682,683,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,1,1,69,66,33,28,5,5,23,22,3,3,12,11,1,1,9,9,4,4,6,5,5,7,3,3,4,5,3,4,3,2,6,6,2,2,6,6,8,8,3,/////,2,2,3,4,3,3,0,2,3,4,2,2,1,1,5,5,4,4,0,2,8,8,4,4,7,5,3,2,2,2,0,0,4,11,7,8,3,3,0,/////,256,248,270,270,2,108,146,16,2,58,137,14.0,5.0
683,684,241 -- CAPITAL,1 -- CAPITAL,8 -- CAPITAL,0,14,15,32,30,32,33,23,21,6,6,1,1,12,12,8,7,1,1,6,6,9,9,2,3,6,6,2,4,10,10,1,1,13,12,1,1,6,5,6,6,0,/////,6,6,8,9,3,3,0,1,5,4,3,3,1,1,6,6,0,0,0,0,3,3,11,12,0,0,4,4,2,2,3,3,4,0,13,15,0,0,0,/////,246,246,263,261,4,120,122,17,4,79,118,8.0,4.0
