mesa,circuito,municipio,municipio_nombre,femenina,electronica,cargada,P33,P41,P60,P71,P176,P179,P180,P191,P652.1,P652.2,P652.3,P652.4,P652.5,P652.6,P652.7,P652.8,P652.9,P652.10,P652.11,P653.1,P653.2,P653.3,P654,nulos,recurridos,blanco,impugnados,validos,totales,P652,P653
447,19A,1,RESISTENCIA,0,1,1,4,4,2,22,1,4,0,1,0,1,7,3,2,5,8,1,2,6,23,53,7,9,3,0,0,18,0,166,187,58,69
448,19A,1,RESISTENCIA,0,1,1,2,2,3,13,1,1,1,2,3,1,6,1,2,2,13,4,4,6,30,49,3,8,3,1,0,14,0,158,176,72,60
449,19A,1,RESISTENCIA,0,1,1,5,4,5,16,2,1,3,4,2,3,7,2,3,7,6,1,5,2,21,39,2,2,0,6,0,21,0,143,170,59,43
450,19A,1,RESISTENCIA,0,1,1,5,2,5,20,1,4,4,6,1,1,11,1,2,4,19,1,2,6,26,27,3,6,3,0,0,21,0,158,182,74,36
451,19A,1,RESISTENCIA,0,1,1,2,5,1,24,1,0,2,1,4,1,5,1,3,4,14,3,8,2,25,46,3,6,2,1,1,23,0,162,189,70,55
452,19A,1,RESISTENCIA,0,1,1,5,5,4,10,1,4,3,1,2,4,8,2,2,5,10,2,5,4,21,45,3,6,3,0,0,21,0,153,177,65,54
453,19A,1,RESISTENCIA,0,1,1,3,5,1,16,1,7,2,1,2,6,7,3,1,5,18,1,3,6,22,44,1,8,0,1,0,12,0,164,177,74,53
454,19A,1,RESISTENCIA,0,1,1,2,5,2,11,3,0,1,7,1,6,7,3,5,2,9,3,4,4,27,51,4,6,3,0,0,11,0,164,178,71,61
455,19A,1,RESISTENCIA,0,1,1,2,1,0,11,1,1,0,2,1,2,4,1,2,2,11,0,3,1,11,32,2,5,0,0,0,6,0,96,102,38,39
456,19B,1,RESISTENCIA,0,0,1,1,11,2,21,0,2,3,4,3,2,8,8,2,0,4,0,4,2,33,40,3,2,2,7,0,6,0,156,171,66,45
457,19B,1,RESISTENCIA,0,0,1,1,8,2,8,0,2,3,0,4,3,3,4,6,4,2,0,7,2,38,37,8,6,1,8,0,1,0,149,159,73,51
458,19B,1,RESISTENCIA,0,0,1,1,15,1,8,2,2,4,3,1,3,1,0,9,3,3,0,1,1,32,58,8,4,1,5,0,1,0,161,168,54,70
459,19B,1,RESISTENCIA,0,0,1,0,5,2,15,0,0,3,2,2,5,4,1,6,2,6,2,2,2,32,56,5,0,2,5,0,5,0,153,165,64,61
460,19B,1,RESISTENCIA,0,0,1,4,8,4,11,0,3,0,0,1,8,0,3,3,1,7,0,6,0,32,46,3,3,2,3,0,1,0,144,150,61,52
461,19B,1,RESISTENCIA,0,0,1,0,3,1,18,0,3,1,2,0,4,11,1,7,1,0,0,5,3,35,60,3,8,0,8,0,3,0,167,178,67,71
462,19B,1,RESISTENCIA,0,0,1,3,8,30,13,2,1,1,1,0,6,4,1,6,1,1,0,7,5,39,46,9,4,3,1,0,5,0,189,198,70,59
463,19B,1,RESISTENCIA,0,0,1,2,7,3,20,0,0,1,4,4,5,6,5,3,0,1,0,2,6,44,43,3,7,4,4,0,8,0,167,183,76,53
464,19B,1,RESISTENCIA,0,0,1,2,8,2,8,1,0,4,4,2,7,1,0,5,1,1,0,4,0,52,52,4,3,3,2,0,3,0,162,170,73,59
465,19B,1,RESISTENCIA,0,0,1,0,7,2,20,0,0,2,7,0,11,0,1,4,3,4,0,6,1,0,48,5,5,0,2,0,3,0,127,132,30,58
466,19B,1,RESISTENCIA,0,0,1,4,7,0,18,2,1,2,2,8,0,3,3,3,0,0,0,9,3,44,1,46,4,3,6,0,2,0,161,172,73,51
467,20,1,RESISTENCIA,0,0,1,4,16,1,13,0,6,3,5,2,2,2,1,2,1,4,0,3,0,29,61,10,2,0,7,0,3,0,168,178,46,73
468,20,1,RESISTENCIA,0,0,1,7,12,2,12,1,2,0,8,0,2,3,1,1,2,8,0,1,0,35,89,17,6,3,3,0,3,0,210,219,53,112
469,21,1,RESISTENCIA,0,0,1,2,4,2,8,0,0,2,5,3,1,11,0,10,2,3,0,4,0,41,29,1,9,3,2,0,2,0,138,145,75,39
470,21,1,RESISTENCIA,0,0,1,3,3,2,19,0,3,1,0,0,1,7,0,3,1,3,0,6,0,45,33,3,3,3,4,0,3,0,137,147,66,39
471,21,1,RESISTENCIA,0,0,1,1,5,2,11,2,3,0,2,4,7,7,1,4,1,1,0,2,0,45,36,5,4,2,2,0,1,0,144,149,72,45
472,21,1,RESISTENCIA,0,0,1,2,8,2,20,0,5,3,0,2,8,10,1,8,3,4,0,4,0,40,32,4,1,1,7,0,3,0,158,169,80,37
473,21,1,RESISTENCIA,0,0,1,0,4,2,11,1,3,0,2,4,2,8,1,3,4,5,0,1,0,56,31,3,1,2,7,0,3,0,143,155,84,35
474,21,1,RESISTENCIA,0,0,1,2,4,0,6,1,2,3,2,2,5,5,0,4,6,4,0,6,2,45,41,5,5,3,4,0,7,0,151,165,79,51
475,21,1,RESISTENCIA,0,0,1,4,5,2,10,1,0,4,0,3,3,4,0,3,0,3,0,3,8,37,33,3,2,4,4,0,5,0,129,142,64,38
476,21,1,RESISTENCIA,0,0,1,2,4,1,9,2,2,3,6,2,0,9,2,7,1,4,0,3,5,51,32,1,1,6,5,0,1,0,148,160,84,34
477,21,1,RESISTENCIA,0,0,1,2,4,4,15,2,1,0,2,3,3,6,1,1,1,2,0,7,4,46,40,3,2,3,4,0,3,0,150,160,74,45
478,21,1,RESISTENCIA,0,0,1,1,4,0,11,3,2,1,1,3,7,7,1,6,4,0,0,1,2,49,33,2,1,1,1,0,2,0,140,144,80,36
479,21,1,RESISTENCIA,0,0,1,2,3,1,14,2,0,0,0,1,1,12,0,1,2,5,0,8,3,50,39,2,3,0,1,0,4,0,150,155,83,44
480,21,1,RESISTENCIA,0,0,1,2,3,3,17,3,4,2,0,2,3,8,3,9,2,0,0,8,4,51,45,5,3,0,0,0,1,5,178,179,90,53
481,21,1,RESISTENCIA,0,0,1,4,3,3,12,0,3,3,4,4,5,11,0,2,1,4,0,2,3,57,37,4,4,6,9,0,4,0,167,186,89,45
530,24,1,RESISTENCIA,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,7,0,0,0,0,0,67,65,0,1,0,0,0,3,3,146,149,76,66
531,25,1,RESISTENCIA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,5,2,2
541,27,1,RESISTENCIA,0,0,1,0,2,0,3,0,1,0,1,1,1,0,0,1,0,0,0,5,0,53,3,2,0,0,0,0,0,0,74,74,61,5
1001,1,1,RESISTENCIA,1,1,1,1,4,0,14,1,0,4,4,0,1,3,0,3,1,0,1,0,1,20,96,12,6,4,1,0,8,0,173,186,30,114
